AracID;DepoSeviyesi;DepoSıcaklığı;MotorYağBasıncı;MotorYağSeviyesi;Fren_ArkaSağ2;Fren_ArkaSol2;Fren_ArkaSol1;Fren_ÖnSağ;Fren_ÖnSol;Fren_ArkaSol3;Fren_ArkaSağ3;Fren_ArkaSağ1;YardımcıBasınç;Frenİkincil;FrenBirincil;KompresörDurumu;İçSıcaklık_Ön;İçSıcaklık_Arka;AraçHızı;RetarderTorkYüzdesi;YakıtTüketim;FrenPedalı;MotorYükYüzdesi;GazPedalı;TurboÇıkış;MotorTorkYüzdesi;SürücüTork;MotorHız;OrtamSıcaklığı;EgzozSıcaklığı;HavaGiriş;VitesSeçili;VitesAktif;DPF_Çıkış;ŞarjVolt;AküVolt;ŞanzımanYağ;SürüşModu;DepoSeviye;HavaGirişSıcaklığı;ToplamYakıt;OdoYüksek;YokuşKalkış;DurmaFren;MotorÇalışmaSüresi;ÖnAksAğırlığı;MotorAlarm;SoğutucuSıcaklığı;YakıtMotorSıcaklığı;MotorYağSıcaklığı;HavaDebisi;TurboTürbin;FrenAlarm;AksAlarm;SanzımanAlarm
Araç 44;0.986047;0.136364;0.011494;0.000000;0.793651;1.000000;1.000000;1.000000;1.000000;1.000000;0.614350;1.000000;0.244000;0.478873;0.478873;0.000000;0.600000;0.600000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.664785;0.000000;0.000000;0.000000;0.815217;0.031148;0.018868;;;0.014112;0.253731;0.253731;0.107167;0.000000;1.000000;0.181154;0.613609;0.249571;0.000000;0.000000;0.635041;1.000000;;0.211765;0.312500;0.169896;;;;;
Araç 33;0.837209;0.568182;0.804598;1.000000;0.497354;0.437500;0.183246;0.278912;0.346154;0.650224;0.484305;0.265000;0.492000;0.845070;0.845070;1.000000;0.840000;0.840000;0.484904;1.000000;0.777027;0.000000;0.990000;1.000000;0.929327;0.792000;1.000000;0.571115;0.802310;0.785490;0.764151;;0.800000;0.174137;0.791045;0.791045;0.927997;0.000000;0.457831;0.300569;0.759100;0.563311;0.000000;0.000000;0.783669;0.088396;;0.941176;0.468750;0.844707;;;;;
Araç 46;0.520930;0.931818;0.839080;1.000000;0.280423;0.355769;0.162304;0.115646;0.324176;0.825112;0.807175;0.370000;0.436000;0.753521;0.753521;1.000000;0.880000;0.880000;0.405134;1.000000;0.755068;0.000000;0.840000;0.976000;0.777262;0.656000;0.951923;0.682760;0.741168;0.728065;0.566038;;0.600000;0.283372;0.888060;0.888060;0.917281;0.000000;0.554217;0.288654;0.456633;0.220570;0.000000;0.000000;0.495183;0.158466;;0.929412;0.468750;0.888795;;;;;
Araç 22;0.651163;0.636364;0.816092;1.000000;0.772487;0.774038;0.581152;0.530612;0.620879;0.641256;0.515695;0.580000;0.468000;0.795775;0.802817;1.000000;0.800000;0.800000;0.313724;0.780488;0.000000;0.342593;0.000000;0.000000;0.754180;0.000000;0.000000;0.503223;0.780571;0.579376;0.075472;;0.600000;0.168514;0.888060;0.888060;0.869056;1.000000;0.855422;0.357975;0.927596;0.826494;0.000000;0.000000;0.921102;0.237381;;0.929412;0.437500;0.975007;;;;;
Araç 47;0.604651;0.795455;0.712644;1.000000;0.666667;1.000000;0.376963;0.503401;0.560440;0.600897;0.484305;1.000000;0.480000;0.823944;0.823944;1.000000;0.760000;0.760000;0.967105;1.000000;0.142736;0.000000;0.170000;1.000000;0.826211;0.096000;0.115385;0.970100;0.760870;0.602961;0.207547;;1.000000;0.156252;0.634328;0.634328;1.000000;0.000000;0.510040;0.369889;0.977612;0.999562;0.000000;0.000000;0.999112;0.241073;;0.952941;0.453125;0.854535;;;;;
Araç 49;0.390698;0.886364;0.494253;1.000000;0.555556;0.586538;0.408377;0.544218;0.500000;0.484305;0.484305;0.405000;0.448000;0.767606;0.760563;1.000000;0.800000;0.800000;0.000000;1.000000;0.052365;0.000000;0.230000;0.000000;0.715092;0.096000;0.000000;0.301193;0.813179;0.528873;0.028302;;0.000000;0.167353;0.917910;0.917910;0.910918;0.000000;0.510040;0.493095;0.480592;0.000163;0.000000;0.166667;0.506664;0.076867;;0.894118;0.484375;0.966021;;;;;
Araç 42;0.730233;0.636364;0.804598;1.000000;0.666667;0.677885;0.136126;0.557823;0.653846;0.000000;0.165919;0.305000;0.456000;0.788732;0.788732;1.000000;0.800000;0.800000;0.556046;1.000000;0.177365;0.000000;0.230000;0.420000;0.716021;0.176000;0.211538;0.563846;;0.440108;0.066038;;1.000000;0.127011;0.880597;0.880597;0.924983;1.000000;0.538153;0.240996;0.601183;0.193909;0.000000;0.000000;0.619556;0.111178;;0.894118;0.390625;0.841898;;;;;
Araç 32;0.906977;0.500000;0.804598;1.000000;0.576720;0.634615;0.445026;0.455782;0.631868;0.591928;0.533632;0.480000;0.000000;0.753521;0.746479;0.000000;0.720000;0.720000;0.892065;1.000000;0.000000;0.000000;0.000000;0.000000;0.755109;0.000000;0.000000;0.898368;0.780571;0.550215;0.113208;;1.000000;0.165539;0.925373;0.925373;0.861688;1.000000;0.562249;0.373409;0.922976;0.516262;0.000000;0.000000;0.932165;0.103568;;0.882353;0.406250;0.796967;;;;;
Araç 67;1.000000;0.136364;0.057471;0.280000;;;;;;;;;0.000000;0.000000;0.000000;0.000000;;;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.001644;0.000000;0.000000;0.000000;0.965353;0.029482;0.018868;;;1.000000;0.447761;0.447761;;0.000000;0.000000;0.150826;0.607726;0.222599;1.000000;1.000000;0.624648;0.093827;;0.211765;0.312500;0.136479;;;;;
Araç 53;0.320930;0.772727;0.643678;1.000000;0.507937;0.533654;0.434555;0.353741;0.478022;0.434978;0.457399;0.405000;0.972000;0.760563;0.760563;1.000000;0.720000;0.720000;0.000000;1.000000;0.045608;0.000000;0.200000;0.000000;0.689939;0.080000;0.000000;0.301742;0.891304;0.260014;0.066038;;;0.086252;0.947761;0.947761;0.760884;0.000000;0.570281;0.226103;0.941780;0.847565;0.000000;0.166667;0.933363;0.118349;;0.800000;0.437500;0.752036;;;;;
